Store,Refilled_location,# of completed tasks,Refilled_pieces,Est. TO (LCY),Est. TO (EUR),% of Est. TO (LCY)
274 - IKEA Barendrecht,S03I24,2,40,159.6,159.6,0.000961
274 - IKEA Barendrecht,S02K16,4,20,154.8,154.8,0.000932
274 - IKEA Barendrecht,S01Q19,3,151,151.49,151.49,0.000912
274 - IKEA Barendrecht,KASSAD,1,75,149.25,149.25,0.000898
274 - IKEA Barendrecht,S01V22,3,134,139.66,139.66,0.000841
274 - IKEA Barendrecht,S08D17,6,35,129.65,129.65,0.00078
274 - IKEA Barendrecht,S01U18,1,30,120,120,0.000722
274 - IKEA Barendrecht,S01Q20,2,10,119.9,119.9,0.000722
274 - IKEA Barendrecht,000400,1,12,119.88,119.88,0.000722
274 - IKEA Barendrecht,S03J26,1,15,119.85,119.85,0.000721
274 - IKEA Barendrecht,SFMCA1,3,18,119.82,119.82,0.000721
274 - IKEA Barendrecht,S04G14,2,20,119.8,119.8,0.000721
274 - IKEA Barendrecht,PL3AOS,1,30,119.7,119.7,0.00072
274 - IKEA Barendrecht,S08G15,3,35,119.65,119.65,0.00072
274 - IKEA Barendrecht,M00U09,1,80,119.2,119.2,0.000717
274 - IKEA Barendrecht,KASP07,2,70,114.3,114.3,0.000688
274 - IKEA Barendrecht,S04SC1,1,14,111.86,111.86,0.000673
274 - IKEA Barendrecht,S02L17,2,30,109.7,109.7,0.00066
274 - IKEA Barendrecht,S04L07,1,15,104.85,104.85,0.000631
274 - IKEA Barendrecht,S01O26,1,5,99.95,99.95,0.000602
274 - IKEA Barendrecht,S04H11,1,10,99.9,99.9,0.000601
274 - IKEA Barendrecht,S01R21,1,25,99.75,99.75,0.0006
274 - IKEA Barendrecht,S04I14,1,50,99.5,99.5,0.000599
274 - IKEA Barendrecht,S08D15,2,100,99,99,0.000596
274 - IKEA Barendrecht,S01R16,4,65,96.85,96.85,0.000583
274 - IKEA Barendrecht,M10CM1,1,20,89.8,89.8,0.000541
274 - IKEA Barendrecht,S03K25,5,300,87,87,0.000524
274 - IKEA Barendrecht,S02K15,3,83,82.17,82.17,0.000495
274 - IKEA Barendrecht,S04G13,1,10,79.9,79.9,0.000481
274 - IKEA Barendrecht,S96Q02,1,80,79.2,79.2,0.000477
274 - IKEA Barendrecht,S04F09,1,60,77.4,77.4,0.000466
274 - IKEA Barendrecht,S07G20,2,60,77.4,77.4,0.000466
274 - IKEA Barendrecht,M15V18,1,100,75,75,0.000451
274 - IKEA Barendrecht,S03M25,1,15,74.85,74.85,0.000451
274 - IKEA Barendrecht,S01R18,3,72,71.28,71.28,0.000429
274 - IKEA Barendrecht,S04F07,1,10,69.9,69.9,0.000421
274 - IKEA Barendrecht,S01O21,1,100,69,69,0.000415
274 - IKEA Barendrecht,090010,1,15,67.35,67.35,0.000405
274 - IKEA Barendrecht,S01U26,1,5,64.95,64.95,0.000391
274 - IKEA Barendrecht,S96R09,1,16,63.84,63.84,0.000384
274 - IKEA Barendrecht,S09N13,1,4,59.96,59.96,0.000361
274 - IKEA Barendrecht,S01P19,1,6,59.94,59.94,0.000361
274 - IKEA Barendrecht,S03J25,1,30,59.7,59.7,0.000359
274 - IKEA Barendrecht,S01P26,1,6,53.94,53.94,0.000325
274 - IKEA Barendrecht,PL2AOS,1,53,52.47,52.47,0.000316
274 - IKEA Barendrecht,M14VM1,1,25,49.75,49.75,0.000299
274 - IKEA Barendrecht,KASSAF,1,100,49,49,0.000295
274 - IKEA Barendrecht,S01P24,2,27,48.33,48.33,0.000291
274 - IKEA Barendrecht,S04G12,2,250,47.5,47.5,0.000286
274 - IKEA Barendrecht,M12P15,1,9,44.91,44.91,0.00027
274 - IKEA Barendrecht,S07H22,2,17,43.83,43.83,0.000264
274 - IKEA Barendrecht,M10I15,1,6,41.94,41.94,0.000252
274 - IKEA Barendrecht,KASSAA,2,20,39.8,39.8,0.00024
274 - IKEA Barendrecht,S08H16,2,20,39.8,39.8,0.00024
274 - IKEA Barendrecht,M15R19,1,12,35.88,35.88,0.000216
274 - IKEA Barendrecht,KASSAI,1,30,29.7,29.7,0.000179
274 - IKEA Barendrecht,S03M24,1,30,29.7,29.7,0.000179
274 - IKEA Barendrecht,KASSAB,1,30,29.7,29.7,0.000179
