Store,Refilled_location,# of completed tasks,Refilled_pieces,Est. TO (LCY),Est. TO (EUR),% of Est. TO (LCY)
274 - IKEA Barendrecht,M13CM1,10,88,413.12,413.12,0.001021
274 - IKEA Barendrecht,M13N02,2,20,399.8,399.8,0.000988
274 - IKEA Barendrecht,S04C07,7,48,399.52,399.52,0.000987
274 - IKEA Barendrecht,070010,4,100,399,399,0.000986
274 - IKEA Barendrecht,S96R04,6,66,396.34,396.34,0.000979
274 - IKEA Barendrecht,AREA51,2,55,394.45,394.45,0.000974
274 - IKEA Barendrecht,S07B19,4,405,391.95,391.95,0.000968
274 - IKEA Barendrecht,S02K17,5,98,391.02,391.02,0.000966
274 - IKEA Barendrecht,S09N13,6,26,389.74,389.74,0.000963
274 - IKEA Barendrecht,S08D18,11,249,387.51,387.51,0.000957
274 - IKEA Barendrecht,S08F15,9,94,381.46,381.46,0.000942
274 - IKEA Barendrecht,S03J22,2,25,374.75,374.75,0.000926
274 - IKEA Barendrecht,S09P07,4,124,372,372,0.000919
274 - IKEA Barendrecht,000403,3,24,359.76,359.76,0.000889
274 - IKEA Barendrecht,S00Y14,1,72,359.28,359.28,0.000888
274 - IKEA Barendrecht,ENTREE,3,450,355.5,355.5,0.000878
274 - IKEA Barendrecht,S07G20,7,270,348.3,348.3,0.00086
274 - IKEA Barendrecht,S08A17,6,179,341.41,341.41,0.000843
274 - IKEA Barendrecht,M11N11,2,85,339.15,339.15,0.000838
274 - IKEA Barendrecht,S03L25,6,47,328.53,328.53,0.000812
274 - IKEA Barendrecht,S04G11,3,32,319.68,319.68,0.00079
274 - IKEA Barendrecht,M10J17,4,64,308.36,308.36,0.000762
274 - IKEA Barendrecht,S96Q02,5,310,306.9,306.9,0.000758
274 - IKEA Barendrecht,KASSAG,5,342,306.58,306.58,0.000757
274 - IKEA Barendrecht,S08D17,5,30,299.7,299.7,0.00074
274 - IKEA Barendrecht,S01Q21,10,547,292.29,292.29,0.000722
274 - IKEA Barendrecht,M12P15,6,40,289.6,289.6,0.000715
274 - IKEA Barendrecht,KASP10,1,126,288.54,288.54,0.000713
274 - IKEA Barendrecht,S01VM2,3,31,279.89,279.89,0.000691
274 - IKEA Barendrecht,S04J10,2,56,279.44,279.44,0.00069
274 - IKEA Barendrecht,S03J24,2,70,279.3,279.3,0.00069
274 - IKEA Barendrecht,S07G23,3,55,274.45,274.45,0.000678
274 - IKEA Barendrecht,S09N08,3,30,269.7,269.7,0.000666
274 - IKEA Barendrecht,S02M20,3,54,269.46,269.46,0.000666
274 - IKEA Barendrecht,S03K22,2,22,263.78,263.78,0.000652
274 - IKEA Barendrecht,S08A16,7,68,259.32,259.32,0.000641
274 - IKEA Barendrecht,S01U23,5,37,258.63,258.63,0.000639
274 - IKEA Barendrecht,KASS09,1,200,258,258,0.000637
274 - IKEA Barendrecht,S08C17,2,287,255.43,255.43,0.000631
274 - IKEA Barendrecht,S04J09,2,64,255.36,255.36,0.000631
274 - IKEA Barendrecht,S02K20,1,50,249.5,249.5,0.000616
274 - IKEA Barendrecht,S01V22,7,239,248.61,248.61,0.000614
274 - IKEA Barendrecht,S01S17,4,63,248.37,248.37,0.000614
274 - IKEA Barendrecht,PL2AOS,3,160,238.4,238.4,0.000589
274 - IKEA Barendrecht,M10I14,1,15,224.85,224.85,0.000555
274 - IKEA Barendrecht,S04SC1,4,75,224.25,224.25,0.000554
274 - IKEA Barendrecht,S02J15,4,62,219.38,219.38,0.000542
274 - IKEA Barendrecht,S02K19,8,87,216.63,216.63,0.000535
274 - IKEA Barendrecht,KASP13,2,120,214.8,214.8,0.000531
274 - IKEA Barendrecht,090010,2,45,202.05,202.05,0.000499
274 - IKEA Barendrecht,M18J10,1,20,199.8,199.8,0.000494
274 - IKEA Barendrecht,M16VM3,1,200,178,178,0.00044
274 - IKEA Barendrecht,S01T24,2,42,161.58,161.58,0.000399
274 - IKEA Barendrecht,M16D07,2,200,158,158,0.00039
274 - IKEA Barendrecht,KASSAB,2,60,154.4,154.4,0.000381
274 - IKEA Barendrecht,SFMCA1,1,10,149.9,149.9,0.00037
274 - IKEA Barendrecht,S08VM1,2,27,148.23,148.23,0.000366
274 - IKEA Barendrecht,S01R15,1,36,143.64,143.64,0.000355
274 - IKEA Barendrecht,KASP07,5,200,138,138,0.000341
274 - IKEA Barendrecht,300010,1,30,134.7,134.7,0.000333
274 - IKEA Barendrecht,S08E17,4,136,134.64,134.64,0.000333
274 - IKEA Barendrecht,S01R26,3,19,132.81,132.81,0.000328
274 - IKEA Barendrecht,M16VM1,2,12,132.48,132.48,0.000327
274 - IKEA Barendrecht,M10VM1,5,39,126.11,126.11,0.000312
274 - IKEA Barendrecht,S02I17,1,15,119.85,119.85,0.000296
274 - IKEA Barendrecht,S96R08,1,20,119.8,119.8,0.000296
274 - IKEA Barendrecht,M10H11,1,150,118.5,118.5,0.000293
274 - IKEA Barendrecht,M06F18,1,150,118.5,118.5,0.000293
274 - IKEA Barendrecht,S07H25,1,150,118.5,118.5,0.000293
274 - IKEA Barendrecht,KASSDD,1,45,112.05,112.05,0.000277
274 - IKEA Barendrecht,S08H18,2,16,107.84,107.84,0.000266
274 - IKEA Barendrecht,S04J07,3,70,104.3,104.3,0.000258
274 - IKEA Barendrecht,S03K24,1,8,101.92,101.92,0.000252
274 - IKEA Barendrecht,S02L17,4,45,101.55,101.55,0.000251
274 - IKEA Barendrecht,S03N24,1,10,100,100,0.000247
274 - IKEA Barendrecht,S04A07,1,4,99.96,99.96,0.000247
274 - IKEA Barendrecht,M16E05,3,20,99.8,99.8,0.000247
274 - IKEA Barendrecht,M06B18,1,25,99.75,99.75,0.000246
274 - IKEA Barendrecht,S01S18,4,38,95.62,95.62,0.000236
274 - IKEA Barendrecht,S02I21,5,95,94.05,94.05,0.000232
274 - IKEA Barendrecht,S08B16,1,6,89.94,89.94,0.000222
274 - IKEA Barendrecht,KASP04,1,60,89.4,89.4,0.000221
274 - IKEA Barendrecht,S04A09,1,16,79.84,79.84,0.000197
274 - IKEA Barendrecht,KASP12,2,20,79.8,79.8,0.000197
274 - IKEA Barendrecht,M16E10,14,35,79.65,79.65,0.000197
274 - IKEA Barendrecht,M12N15,1,100,79,79,0.000195
274 - IKEA Barendrecht,M18J08,1,100,79,79,0.000195
274 - IKEA Barendrecht,S01P26,1,8,71.92,71.92,0.000178
274 - IKEA Barendrecht,M12P18,1,90,71.1,71.1,0.000176
274 - IKEA Barendrecht,M13O07,1,90,71.1,71.1,0.000176
274 - IKEA Barendrecht,130010,3,120,70.8,70.8,0.000175
274 - IKEA Barendrecht,M16B08,5,10,69.9,69.9,0.000173
274 - IKEA Barendrecht,S01S20,1,25,62.25,62.25,0.000154
274 - IKEA Barendrecht,S04C08,1,3,59.97,59.97,0.000148
274 - IKEA Barendrecht,S04D07,2,6,59.94,59.94,0.000148
274 - IKEA Barendrecht,S03I24,1,15,59.85,59.85,0.000148
274 - IKEA Barendrecht,M18H07,5,7,55.93,55.93,0.000138
274 - IKEA Barendrecht,S09M13,2,28,55.72,55.72,0.000138
274 - IKEA Barendrecht,S02K16,5,61,54.29,54.29,0.000134
274 - IKEA Barendrecht,M18VM3,1,18,53.82,53.82,0.000133
274 - IKEA Barendrecht,S01T26,1,20,49.8,49.8,0.000123
274 - IKEA Barendrecht,KASSAI,1,50,49.5,49.5,0.000122
274 - IKEA Barendrecht,S08B18,1,50,49.5,49.5,0.000122
274 - IKEA Barendrecht,S07C20,1,8,39.92,39.92,0.000099
274 - IKEA Barendrecht,S03J25,2,20,39.8,39.8,0.000098
274 - IKEA Barendrecht,S01U24,2,50,39.5,39.5,0.000098
274 - IKEA Barendrecht,AOSSFM,1,8,35.92,35.92,0.000089
274 - IKEA Barendrecht,S03I25,1,1,32.99,32.99,0.000081
274 - IKEA Barendrecht,S01R21,1,3,29.97,29.97,0.000074
274 - IKEA Barendrecht,S07F22,1,10,29.9,29.9,0.000074
274 - IKEA Barendrecht,S01O22,2,30,29.7,29.7,0.000073
274 - IKEA Barendrecht,KASSAA,7,86,28.38,28.38,0.00007
274 - IKEA Barendrecht,S08H15,1,3,23.97,23.97,0.000059
274 - IKEA Barendrecht,S03M26,1,10,19.9,19.9,0.000049
274 - IKEA Barendrecht,S08A18,1,20,19.8,19.8,0.000049
274 - IKEA Barendrecht,S01S25,2,3,14.97,14.97,0.000037
274 - IKEA Barendrecht,000101,1,30,11.7,11.7,0.000029
274 - IKEA Barendrecht,PL3AOS,1,10,9.9,9.9,0.000024
274 - IKEA Barendrecht,M06CM1,3,0,0,0,0
274 - IKEA Barendrecht,S01T23,1,0,0,0,0
274 - IKEA Barendrecht,M06E17,1,0,0,0,0
274 - IKEA Barendrecht,KASS02,3,0,0,0,0
274 - IKEA Barendrecht,S04F09,1,0,0,0,0
274 - IKEA Barendrecht,S96S10,3,0,0,0,0
274 - IKEA Barendrecht,000500,1,0,0,0,0
274 - IKEA Barendrecht,M15R19,3,0,0,0,0
274 - IKEA Barendrecht,M18VM1,2,0,0,0,0
274 - IKEA Barendrecht,M18VM2,2,0,0,0,0
274 - IKEA Barendrecht,S96S09,1,0,0,0,0
274 - IKEA Barendrecht,M16B09,1,0,0,0,0
274 - IKEA Barendrecht,M06D16,1,0,0,0,0
274 - IKEA Barendrecht,S96T10,2,0,0,0,0
274 - IKEA Barendrecht,KASSAD,1,0,0,0,0
274 - IKEA Barendrecht,KASP09,1,0,0,0,0
274 - IKEA Barendrecht,S01V24,1,0,0,0,0
274 - IKEA Barendrecht,S04F12,1,0,0,0,0
274 - IKEA Barendrecht,S00Z14,2,0,0,0,0
274 - IKEA Barendrecht,M13N05,1,0,0,0,0
